dataset_seed,テスト精度 (Test Acc)
0,0.9472
0,0.7794
1,0.9681
0,0.4931
1,0.839
2,0.9713
0,0.3482
1,0.6631
2,0.8676
3,0.9714
0,0.3515
1,0.5689
2,0.7835
3,0.9194
4,0.9699
0,0.2889
1,0.5023
2,0.6705
3,0.8179
4,0.8963
5,0.9694
0,0.2075
1,0.342
2,0.437
3,0.564
4,0.5635
5,0.6696
6,0.9669
0,0.2039
1,0.3115
2,0.4072
3,0.5291
4,0.4939
5,0.6339
6,0.7872
7,0.961
0,0.1895
1,0.2657
2,0.333
3,0.3645
4,0.3287
5,0.4644
6,0.7153
7,0.8058
8,0.938
0,0.1861
1,0.2358
2,0.2954
3,0.274
4,0.2861
5,0.3702
6,0.5458
7,0.4818
8,0.4779
9,0.8218
0,0.1739
1,0.2217
2,0.2756
3,0.2552
4,0.2284
5,0.2523
6,0.3002
7,0.2754
8,0.2138
9,0.1872
10,0.101